,week,gmv,listing_price,product_mrp,discount,sla,product_procurement_sla,fsn_id,order_payment_type,online_order_perc,Date,Year,Month,TV_ads,Sponsorship_ads,Content_marketing_ads,Online_marketing_ads,NPS,Stock_Index,Special_sales,Payday,heat_deg_days,cool_deg_days,total_rain_mm,total_snow_cm,snow_on_grnd_cm,MA2_listed_price,MA2_discount,MA4_discount,lag_1_listed_price,lag_2_listed_price,lag_3_listed_price,lag_1_discount_offer,lag_2_discount_offer,lag_3_discount_offer,lag_1_NPS,lag_2_NPS,lag_3_NPS,lag_1_Stock_Index,lag_2_Stock_Index,lag_3_Stock_Index,lag_1_Special_sales,lag_2_Special_sales,lag_3_Special_sales,lag_1_Payday,lag_2_Payday,lag_3_Payday
23,24,1698717.250092627,469.3480682459109,894.7010716300057,0.45719402143260013,5.748730964467005,2.508460236886633,389,575,16.215454032712916,2015-12-13,2015.0,12.0,2.0240633341509318,21.26453200142408,0.4002400747623184,8.438908335377327,45.8,1038.0,0.0,0.0,7.862303664921468,0.8371727748691107,1.1930232558139535,0.08770764119601328,0.12358803986710964,-0.039231288927659626,0.057254284262991076,0.0732574320309714,435.56609007832895,457.55281175190424,457.36851738865164,0.470460182767624,0.5096452665941241,0.4663148261134838,45.8,45.8,46.354156282157284,1038.0,1038.0,1044.0,0.0,0.42857142857142855,1.0,0.14285714285714285,0.0,0.14285714285714285
24,25,1362933.0,435.56609007832895,931.6870104438642,0.470460182767624,6.668407310704961,2.452676240208877,368,450,14.686684073107049,2015-12-20,2015.0,12.0,2.0240633341509318,21.26453200142408,0.4002400747623184,8.438908335377327,45.8,1038.0,0.0,0.14285714285714285,9.251458489154826,1.3952879581151845,2.4764119601328907,0.11694352159468438,0.1647840531561462,-0.03733169368257091,0.014300761291176583,0.06514574368372884,457.55281175190424,457.36851738865164,447.7230727173319,0.5096452665941241,0.4663148261134838,0.4692345544013122,45.8,46.354156282157284,47.09303132503366,1038.0,1044.0,1052.0,0.42857142857142855,1.0,0.0,0.0,0.14285714285714285,0.0
25,26,2147340.0,457.55281175190424,1097.2365614798694,0.5096452665941241,5.911207834602829,2.5018498367791078,412,703,15.305900283039408,2015-12-27,2015.0,12.0,2.0240633341509318,21.26453200142408,0.4002400747623184,8.438908335377327,45.8,1038.0,0.42857142857142855,0.0,6.922887060583398,1.3952879581151845,5.221594684385382,0.08770764119601328,0.12358803986710964,0.024617911040197192,0.03998047745986679,0.10493638988124479,457.36851738865164,447.7230727173319,485.83885542168673,0.4663148261134838,0.4692345544013122,0.4374427710843373,46.354156282157284,47.09303132503366,47.09303132503366,1044.0,1052.0,1052.0,1.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285
26,27,1527510.0,457.36851738865164,1036.9539353264186,0.4663148261134838,6.087248322147651,2.3511287370347773,410,470,14.338010982306285,2016-01-03,2016.0,1.0,1.5506877780503103,7.928177333808027,0.3134133582541062,7.392969445125774,46.354156282157284,1044.0,1.0,0.14285714285714285,7.13889304412865,1.6743455497382214,2.2146179401993358,0.17541528239202656,0.2471760797342193,-0.00020143192357933884,-0.04439775847845239,-0.02014851039740542,447.7230727173319,485.83885542168673,535.9823932584269,0.4692345544013122,0.4374427710843373,0.45086292134831457,47.09303132503366,47.09303132503366,47.09303132503366,1052.0,1052.0,1052.0,0.0,0.0,0.42857142857142855,0.0,0.14285714285714285,0.0
27,28,1665891.0,447.7230727173319,1015.4177145981411,0.4692345544013122,6.025150355385456,2.3597594313832695,430,547,14.953526517222526,2016-01-10,2016.0,1.0,1.3139999999999996,1.2600000000000011,0.27000000000000013,6.869999999999997,47.09303132503366,1052.0,0.0,0.0,10.949738219895291,1.1162303664921476,4.847840531561461,1.1169435215946844,0.1647840531561462,-0.010656871389325692,0.0031208703128226753,-0.02021064111731994,485.83885542168673,535.9823932584269,497.6022222222222,0.4374427710843373,0.45086292134831457,0.4342905982905983,47.09303132503366,47.09303132503366,47.09303132503366,1052.0,1052.0,1052.0,0.0,0.42857142857142855,0.0,0.14285714285714285,0.0,0.0
28,29,1640618.0,485.83885542168673,979.8430722891567,0.4374427710843373,5.991566265060241,2.325301204819277,396,511,15.396203675805966,2016-01-17,2016.0,1.0,1.3139999999999996,1.2600000000000011,0.27000000000000013,6.869999999999997,47.09303132503366,1052.0,0.0,0.14285714285714285,12.578309648466718,1.1162303664921476,2.562126245847176,0.11694352159468438,4.593355481727575,0.04082833881233312,-0.035064054678930145,-0.07057457403742579,535.9823932584269,497.6022222222222,478.73672442705424,0.45086292134831457,0.4342905982905983,0.4456959195081051,47.09303132503366,47.09303132503366,50.32740649908032,1052.0,1052.0,1222.0,0.42857142857142855,0.0,0.2857142857142857,0.0,0.0,0.14285714285714285
29,30,2432792.0412541134,535.9823932584269,1017.0815730337079,0.45086292134831457,6.0591011235955055,2.446516853932584,452,789,17.734322319622386,2016-01-24,2016.0,1.0,1.3139999999999996,1.2600000000000011,0.27000000000000013,6.869999999999997,47.09303132503366,1052.0,0.42857142857142855,0.0,5.712041884816758,1.9534031413612583,1.8455149501661132,0.1461794019933555,0.20598006644518274,0.04907271002781609,0.015107581070684856,-0.011186956604625601,497.6022222222222,478.73672442705424,455.9872870840383,0.4342905982905983,0.4456959195081051,0.46901579244218833,47.09303132503366,50.32740649908032,50.32740649908032,1052.0,1222.0,1222.0,0.0,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.0
30,31,1480041.0,497.6022222222222,918.5658119658119,0.4342905982905983,6.162051282051282,2.542905982905983,450,488,16.683760683760685,2016-01-31,2016.0,1.0,1.3139999999999996,1.2600000000000011,0.27000000000000013,6.869999999999997,47.09303132503366,1052.0,0.0,0.0,7.724607329842935,1.6743455497382214,1.8455149501661132,0.1461794019933555,0.20598006644518274,-0.037133071120990555,-0.01872254099433153,-0.030509828598451662,478.73672442705424,455.9872870840383,427.19708601286175,0.4456959195081051,0.46901579244218833,0.4978275723472669,50.32740649908032,50.32740649908032,50.32740649908032,1222.0,1222.0,1222.0,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.0,0.14285714285714285
31,32,1739754.5002754822,478.73672442705424,903.7322526551146,0.4456959195081051,5.977361654555618,2.4782001117942984,460,589,16.46171045276691,2016-02-07,2016.0,2.0,1.0845019042887896,3.3513888267925167,0.23919274714356686,7.26309157145223,50.32740649908032,1222.0,0.2857142857142857,0.14285714285714285,9.606881077038148,1.1162303664921476,2.621594684385382,0.08770764119601328,0.12358803986710964,-0.019322693066698857,0.012960790860793239,0.008195177085109284,455.9872870840383,427.19708601286175,440.0930724246514,0.46901579244218833,0.4978275723472669,0.4954858299595141,50.32740649908032,50.32740649908032,50.32740649908032,1222.0,1222.0,1222.0,0.14285714285714285,0.42857142857142855,0.0,0.0,0.14285714285714285,0.0
32,33,1644979.250137741,455.9872870840383,900.5924985899605,0.46901579244218833,5.721940214326001,2.4235758601240835,440,597,16.835871404399324,2016-02-14,2016.0,2.0,0.9697528564331845,4.397083240188774,0.22378912071535026,7.459637357178346,50.32740649908032,1222.0,0.14285714285714285,0.0,14.092595362752434,1.1162303664921476,1.4764119601328907,1.2598006644518271,1.0219269102990034,-0.024338133034839674,0.025494232367881103,0.04233535758244932,427.19708601286175,440.0930724246514,449.2240336134454,0.4978275723472669,0.4954858299595141,0.4881058369293664,50.32740649908032,50.32740649908032,49.20724414096601,1222.0,1222.0,1044.5714285714287,0.42857142857142855,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285
33,34,2160427.5758199086,427.19708601286175,879.7041800643087,0.4978275723472669,5.535570739549839,2.5858118971061095,457,835,16.780546623794212,2016-02-21,2016.0,2.0,0.9697528564331845,4.397083240188774,0.22378912071535026,7.459637357178346,50.32740649908032,1222.0,0.42857142857142855,0.14285714285714285,8.764023934181004,1.1162303664921476,1.4764119601328907,0.11694352159468438,0.7362126245847176,-0.03259817762651679,0.02979984240917104,0.07823157301225447,440.0930724246514,449.2240336134454,499.8385410973302,0.4954858299595141,0.4881058369293664,0.4849253731343284,50.32740649908032,49.20724414096601,49.02055041461363,1222.0,1044.5714285714287,1015.0,0.0,0.0,0.42857142857142855,0.0,0.14285714285714285,0.0
34,35,1989635.6,440.0930724246514,910.4631129104813,0.4954858299595141,6.080071974808817,2.445344129554656,493,687,15.45556805399325,2016-02-28,2016.0,2.0,0.9697528564331845,4.397083240188774,0.22378912071535026,7.459637357178346,50.32740649908032,1222.0,0.0,0.0,9.408601346297685,1.3952879581151845,5.474086378737542,1.0033222591362125,1.06312292358804,0.014869287154166147,-0.002357506082485764,0.03874068796508667,449.2240336134454,499.8385410973302,506.39495056497174,0.4881058369293664,0.4849253731343284,0.4092196327683616,49.20724414096601,49.02055041461363,49.02055041461363,1044.5714285714287,1015.0,1015.0,0.0,0.42857142857142855,0.0,0.14285714285714285,0.0,0.14285714285714285
35,36,2013127.7519998255,449.2240336134454,910.2114467408585,0.4881058369293664,5.884624119918238,2.3722461957756074,449,701,15.924579736483416,,,,,,,,49.20724414096601,1044.5714285714287,0.0,0.14285714285714285,10.035452505609575,1.1162303664921476,1.5358803986710965,1.0877076411960134,1.2664451827242524,0.010267385083226825,-0.007503106500984268,0.0010194218247909042,499.8385410973302,506.39495056497174,516.3313755210307,0.4849253731343284,0.4092196327683616,0.4136566881394468,49.02055041461363,49.02055041461363,49.02055041461363,1015.0,1015.0,1015.0,0.42857142857142855,0.0,0.0,0.0,0.14285714285714285,0.0
36,37,2418902.14506138,499.8385410973302,1007.4254782425899,0.4849253731343284,5.435148202648728,2.53752364935884,497,985,20.710681244743483,,,,,,,,49.02055041461363,1015.0,0.42857142857142855,0.0,6.621166791323861,1.1162303664921476,5.333554817275748,0.11694352159468438,0.1647840531561462,0.05333105406596554,-0.0032686143693478435,-0.013549567896465173,506.39495056497174,516.3313755210307,518.132140274765,0.4092196327683616,0.4136566881394468,0.4205422993492408,49.02055041461363,49.02055041461363,50.22357381653395,1015.0,1015.0,1112.2857142857142,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285
37,38,1458031.5003637134,506.39495056497174,904.742231638418,0.4092196327683616,5.875,2.5233050847457625,501,516,18.220338983050848,,,,,,,,49.02055041461363,1015.0,0.0,0.14285714285714285,7.6480179506357535,0.8371727748691107,0.6548172757475085,0.029235880398671095,0.04119601328903655,0.006515793324281325,-0.084668303089763,-0.12827045730541553,516.3313755210307,518.132140274765,534.628140232471,0.4136566881394468,0.4205422993492408,0.411496062992126,49.02055041461363,50.22357381653395,51.82760501909438,1015.0,1112.2857142857142,1242.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0
38,39,1379205.0021336668,516.3313755210307,926.6991284577491,0.4136566881394468,6.021220159151194,2.5433876468359227,500,754,28.593098217671596,,,,,,,,49.02055041461363,1015.0,0.0,0.0,10.403440538519074,0.5581151832460738,9.881063122923589,0.05847176079734219,0.0823920265780731,0.009715624505419676,0.005392129118735674,-0.0786681808374007,518.132140274765,534.628140232471,512.6310353535354,0.4205422993492408,0.411496062992126,0.43992424242424244,50.22357381653395,51.82760501909438,51.82760501909438,1112.2857142857142,1242.0,1242.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285
