,week,gmv,listing_price,product_mrp,discount,sla,product_procurement_sla,fsn_id,order_payment_type,online_order_perc,Date,Year,Month,TV_ads,Sponsorship_ads,Content_marketing_ads,Online_marketing_ads,NPS,Stock_Index,Special_sales,Payday,heat_deg_days,cool_deg_days,total_rain_mm,total_snow_cm,snow_on_grnd_cm,MA2_listed_price,MA4_listed_price,MA2_discount,MA4_discount,lag_1_listed_price,lag_2_listed_price,lag_3_listed_price,lag_1_discount_offer,lag_2_discount_offer,lag_3_discount_offer,lag_1_NPS,lag_2_NPS,lag_3_NPS,lag_1_Stock_Index,lag_2_Stock_Index,lag_3_Stock_Index,lag_1_Special_sales,lag_2_Special_sales,lag_3_Special_sales,lag_1_Payday,lag_2_Payday,lag_3_Payday
10,15,2914570.0,1643.228765571914,2824.917893544734,0.34766138165345417,5.979048697621744,2.55436013590034,254,345,19.535673839184597,2015-10-11,2015.0,10.0,2.304266660555341,31.75219932235307,1.2915280337570003,9.13941665138835,44.398388933996294,1210.0,0.0,0.0,2.6177262528047875,0.5581151832460738,0.7382059800664453,0.05847176079734219,0.0823920265780731,-0.013717961536223705,-0.008967733906673143,0.007030411465445711,-0.005220890087489108,1838.343066174532,1775.8241480858226,1807.4694615106614,0.42100975481149483,0.35864535128313,0.3559522949042284,44.398388933996294,44.398388933996294,44.77004765771112,1210.0,1210.0,1213.2857142857142,0.42857142857142855,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285
11,16,13999216.0,1838.343066174532,3517.360268916425,0.42100975481149483,5.9861587134194565,2.3097811758502504,316,1778,23.441001977587344,2015-10-18,2015.0,10.0,2.304266660555341,31.75219932235307,1.2915280337570003,9.13941665138835,44.398388933996294,1210.0,0.42857142857142855,0.14285714285714285,5.251458489154827,1.5095736724008988,1.2787375415282394,0.08770764119601328,0.12358803986710964,0.056042014938046926,0.08749149472851546,0.09542230698990908,0.15330902940499144,1775.8241480858226,1807.4694615106614,1967.3879537470725,0.35864535128313,0.3559522949042284,0.436943793911007,44.398388933996294,44.77004765771112,46.99999999999999,1210.0,1213.2857142857142,1233.0,0.0,0.0,0.2857142857142857,0.0,0.14285714285714285,0.0
12,17,4242332.0,1775.8241480858226,3036.93605384939,0.35864535128313,6.660917122423222,2.5872949095498528,276,422,17.75347076146403,2015-10-25,2015.0,10.0,2.304266660555341,31.75219932235307,1.2915280337570003,9.13941665138835,44.398388933996294,1210.0,0.0,0.0,3.2891548242333593,0.5581151832460738,1.3382059800664454,0.05847176079734219,0.0823920265780731,-0.017298291523986445,0.02259627365557361,-0.07998973269187541,-0.02417632565553769,1807.4694615106614,1967.3879537470725,1874.0962648140578,0.3559522949042284,0.436943793911007,0.36975071516142216,44.77004765771112,46.99999999999999,46.99999999999999,1213.2857142857142,1233.0,1233.0,0.0,0.2857142857142857,0.8571428571428571,0.14285714285714285,0.0,0.14285714285714285
13,18,5023090.0,1807.4694615106614,3055.023852547886,0.3559522949042284,6.567040115648717,2.475966750993856,278,485,17.528008673653776,2015-11-01,2015.0,11.0,1.6122148348287313,13.418489624449759,0.4642359823577811,6.958787087071826,44.77004765771112,1213.2857142857142,0.0,0.14285714285714285,6.108601346297684,1.3952879581151845,2.10265780730897,0.1461794019933555,0.20598006644518274,0.008831348159717839,0.023356765400523987,-0.003768633150794788,-0.04008687011471452,1967.3879537470725,1874.0962648140578,1909.624720982143,0.436943793911007,0.36975071516142216,0.35702008928571427,46.99999999999999,46.99999999999999,46.99999999999999,1233.0,1233.0,1233.0,0.2857142857142857,0.8571428571428571,0.0,0.0,0.14285714285714285,0.0
14,19,6743389.250023159,1967.3879537470725,4165.56206088993,0.436943793911007,5.021077283372366,2.6999414519906324,273,575,16.83255269320843,2015-11-08,2015.0,11.0,1.2661889219654263,4.251634775498104,0.05058995665817145,5.868472304913565,46.99999999999999,1233.0,0.2857142857142857,0.0,4.546297681376217,0.5581151832460738,1.966777408637874,0.05847176079734219,0.0823920265780731,0.04236411462590103,0.06503255971709236,0.10214642265141964,0.11142656677973002,1874.0962648140578,1909.624720982143,1848.3761201897732,0.36975071516142216,0.35702008928571427,0.3396837111228255,46.99999999999999,46.99999999999999,46.99999999999999,1233.0,1233.0,1233.0,0.8571428571428571,0.0,0.0,0.14285714285714285,0.0,0.0
15,20,4599812.560001206,1874.0962648140578,3414.4458520637513,0.36975071516142216,6.36575398447078,2.378013894564773,261,519,21.209644462607276,2015-11-15,2015.0,11.0,1.2661889219654263,4.251634775498104,0.05058995665817145,5.868472304913565,46.99999999999999,1233.0,0.8571428571428571,0.14285714285714285,7.192595362752433,1.1162303664921476,3.676411960132891,0.11694352159468438,0.1647840531561462,-0.0242853240115505,0.00964436010826549,-0.0832943301260922,-0.027798272979904552,1909.624720982143,1848.3761201897732,1890.3154394299288,0.35702008928571427,0.3396837111228255,0.39536342042755346,46.99999999999999,46.99999999999999,45.97142857142857,1233.0,1233.0,1065.857142857143,0.0,0.0,0.0,0.0,0.0,0.14285714285714285
16,21,3428301.5,1909.624720982143,3412.219308035714,0.35702008928571427,5.8984375,2.5496651785714284,237,321,17.912946428571427,2015-11-22,2015.0,11.0,1.2661889219654263,4.251634775498104,0.05058995665817145,5.868472304913565,46.99999999999999,1233.0,0.0,0.0,9.262303664921467,0.8371727748691107,2.9930232558139536,1.516279069767442,1.1235880398671096,0.009389819255028633,0.01057348070418813,-0.01751669962223122,-0.060267507652877604,1848.3761201897732,1890.3154394299288,2066.6591454891995,0.3396837111228255,0.39536342042755346,0.46289390088945365,46.99999999999999,45.97142857142857,45.8,1233.0,1065.857142857143,1038.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0
17,22,3518352.5,1848.3761201897732,3111.2799156562996,0.3396837111228255,6.426462836056932,2.4396415392725355,242,364,19.18819188191882,2015-11-29,2015.0,11.0,1.2661889219654263,4.251634775498104,0.05058995665817145,5.868472304913565,46.99999999999999,1233.0,0.0,0.0,6.353178758414364,1.6743455497382214,3.5026578073089705,0.1461794019933555,0.20598006644518274,-0.01629818708962017,-0.027104544236210337,-0.024883427006889898,-0.09622431000312244,1890.3154394299288,2066.6591454891995,1931.9146940598482,0.39536342042755346,0.46289390088945365,0.3908619919606967,45.97142857142857,45.8,45.8,1065.857142857143,1038.0,1038.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285
18,23,3995708.0,1890.3154394299288,3657.4104513064135,0.39536342042755346,5.773871733966746,2.739192399049881,264,404,19.20152091254753,2015-12-06,2015.0,12.0,1.7714385300890965,15.593566259448755,0.2836900353942694,7.58209632522274,45.97142857142857,1065.857142857143,0.0,0.14285714285714285,7.210321615557221,1.6743455497382214,2.4169435215946846,0.1461794019933555,0.20598006644518274,0.01121764621963663,0.005164461809195448,0.07574984911142622,0.08184038707327898,2066.6591454891995,1931.9146940598482,2161.1745080726537,0.46289390088945365,0.3908619919606967,0.44788849646821394,45.8,45.8,45.8,1038.0,1038.0,1038.0,0.0,0.0,0.42857142857142855,0.0,0.14285714285714285,0.0
19,24,6523147.991360423,2066.6591454891995,4550.48125794155,0.46289390088945365,4.960609911054638,2.9072426937738247,259,480,15.247776365946633,2015-12-13,2015.0,12.0,2.0240633341509318,21.26453200142408,0.4002400747623184,8.438908335377327,45.8,1038.0,0.0,0.0,7.862303664921468,0.8371727748691107,1.1930232558139535,0.08770764119601328,0.12358803986710964,0.044565286502307566,0.07150523824095496,0.07868325592407863,0.19075363215712635,1931.9146940598482,2161.1745080726537,1945.444724674233,0.3908619919606967,0.44788849646821394,0.3552206809583859,45.8,45.8,46.354156282157284,1038.0,1038.0,1044.0,0.0,0.42857142857142855,1.0,0.14285714285714285,0.0,0.14285714285714285
20,25,4328292.0,1931.9146940598482,3701.782045556052,0.3908619919606967,5.924519874944171,2.746761947297901,275,382,17.0611880303707,2015-12-20,2015.0,12.0,2.0240633341509318,21.26453200142408,0.4002400747623184,8.438908335377327,45.8,1038.0,0.0,0.14285714285714285,9.251458489154826,1.3952879581151845,2.4764119601328907,0.11694352159468438,0.1647840531561462,-0.03369812759154844,-0.00124160442142628,-0.08437061405021516,-0.01595859031506389,2161.1745080726537,1945.444724674233,2005.6874810548652,0.44788849646821394,0.3552206809583859,0.4475477417399212,45.8,46.354156282157284,47.09303132503366,1038.0,1044.0,1052.0,0.42857142857142855,1.0,0.0,0.0,0.14285714285714285,0.0
21,26,8590006.250025734,2161.1745080726537,4354.819374369324,0.44788849646821394,4.833249243188698,2.073915237134208,270,888,22.401614530776992,2015-12-27,2015.0,12.0,2.0240633341509318,21.26453200142408,0.4002400747623184,8.438908335377327,45.8,1038.0,0.42857142857142855,0.0,6.922887060583398,1.3952879581151845,5.221594684385382,0.08770764119601328,0.12358803986710964,0.056011438473747704,0.07386702279247054,0.06798983165343406,0.05571345964583037,1945.444724674233,2005.6874810548652,1995.0511793502449,0.3552206809583859,0.4475477417399212,0.3919270137961727,46.354156282157284,47.09303132503366,47.09303132503366,1044.0,1052.0,1052.0,1.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285
22,27,4640222.0,1945.444724674233,3309.4312736443885,0.3552206809583859,5.938629676334594,2.4384195039932743,301,426,17.90668348045397,2016-01-03,2016.0,1.0,1.5506877780503103,7.928177333808027,0.3134133582541062,7.392969445125774,46.354156282157284,1044.0,1.0,0.14285714285714285,7.13889304412865,1.6743455497382214,2.2146179401993358,0.17541528239202656,0.2471760797342193,-0.05253220987184641,-0.03990209372117902,-0.11538632369606738,-0.14242701513635628,2005.6874810548652,1995.0511793502449,1936.3748259052925,0.4475477417399212,0.3919270137961727,0.4171100278551532,47.09303132503366,47.09303132503366,47.09303132503366,1052.0,1052.0,1052.0,0.0,0.0,0.42857142857142855,0.0,0.14285714285714285,0.0
23,28,6628003.0,2005.6874810548652,4258.1000303122155,0.4475477417399212,4.822976659593817,2.8238860260685055,277,445,13.488936041224614,2016-01-10,2016.0,1.0,1.3139999999999996,1.2600000000000011,0.27000000000000013,6.869999999999997,47.09303132503366,1052.0,0.0,0.0,10.949738219895291,1.1162303664921476,4.847840531561461,1.1169435215946844,0.1647840531561462,0.015246960426502799,-0.002669181087078851,0.11501082774432105,0.09056980996361176,1995.0511793502449,1936.3748259052925,1923.480459770115,0.3919270137961727,0.4171100278551532,0.3818574712643678,47.09303132503366,47.09303132503366,47.09303132503366,1052.0,1052.0,1052.0,0.0,0.42857142857142855,0.0,0.14285714285714285,0.0,0.0
24,29,4492835.0,1995.0511793502449,3855.0756564307967,0.3919270137961727,5.490431686693369,2.789942145082332,279,389,17.311971517578993,2016-01-17,2016.0,1.0,1.3139999999999996,1.2600000000000011,0.27000000000000013,6.869999999999997,47.09303132503366,1052.0,0.0,0.14285714285714285,12.578309648466718,1.1162303664921476,2.562126245847176,0.11694352159468438,4.593355481727575,-0.002658584478383072,-0.015683676165131343,-0.06625658196026248,-0.04558420198531404,1936.3748259052925,1923.480459770115,2028.8458001226243,0.4171100278551532,0.3818574712643678,0.42778050275904356,47.09303132503366,47.09303132503366,50.32740649908032,1052.0,1052.0,1222.0,0.42857142857142855,0.0,0.2857142857142857,0.0,0.0,0.14285714285714285
25,30,5589734.5,1936.3748259052925,3823.924791086351,0.4171100278551532,5.54108635097493,2.495125348189415,288,587,20.438718662952645,2016-01-24,2016.0,1.0,1.3139999999999996,1.2600000000000011,0.27000000000000013,6.869999999999997,47.09303132503366,1052.0,0.42857142857142855,0.0,5.712041884816758,1.9534031413612583,1.8455149501661132,0.1461794019933555,0.20598006644518274,-0.014924954295594964,-0.017387617534174237,0.031127145930895113,0.0351373961210835,1923.480459770115,2028.8458001226243,1890.2775349650349,0.3818574712643678,0.42778050275904356,0.38693181818181815,47.09303132503366,50.32740649908032,50.32740649908032,1052.0,1222.0,1222.0,0.0,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.0
